DBA,STREET,INCOME_LEVEL,CUISINE_DESCRIPTION,SCORE,GRADE
(LEWIS DRUG STORE) LOCANDA VINI E OLII,GATES AVENUE,medium income,Italian,2,A
(LEWIS DRUG STORE) LOCANDA VINI E OLII,GATES AVENUE,medium income,Italian,9,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,American,11,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,American,12,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,American,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,7,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,7,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,11,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,11,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,11,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",11,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",11,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",9,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",9,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",4,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",4,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",9,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",9,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,2 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",13,A
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",2,A
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",2,A
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,15,B
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,8,A
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,12,A
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
