Country or Territory,ISO 3 code,"Cancer deaths attributable to alcohol
Proportion (%) of cancer deaths caused by alcohol drinking in men ages 15 years or older, 2016","Smoking prevalence male
Prevalence (%) of daily smoking for men","Smoking prevalence female
Prevalence (%) of daily smoking for women","Cancers attributable to infections
Proportion of cancers attributable to infections (%), by country","Obesity prevalence male
International variation in the prevalence of obesity, 2016","Obesity prevalence female
International variation in the prevalence of obesity, 2016","Melanoma skin cancer incidence
Age-standardized rate (world) per 100,000, both sexes, 2018","Breastfeeding at 12 months
Percent (%) of children who receive any breast milk at 12 months of age","Average births per woman
2010-2015","Outdoor air pollution
Average annual population-weighted concentrations of PM2.5 (particulate matter of 2.5 _m diameter or less), measured in _g/m3, 2017","Indoor air pollution
Proportion (%) of population using solid fuels in 2017","Cancer rank as leading cause of death among 30-69
2016","Lung cancer incidence rates, male
Age-standardized rate (world) per 100,000, all ages, 2018","Lung cancer incidence rates, female
Age-standardized rate (world) per 100,000, all ages, 2018","Breast most frequently diagnosed cancer in women
Countries where breast cancer is the most frequently diagnosed cancer in women, 2018","Human Development Index (HDI) levels
2017","Cancer rank as leading cause of death among <70
2016","Indigenous peoples
As percent of total population","Most common cancer cases worldwide, females
2018","Most common cancer deaths worldwide, females
2018","Most common cancer cases worldwide, males
2018","Most common cancer deaths worldwide, males
2018","High-quality survival data
Availability of high-quality cancer data for survival statistics, 2008Ð2014","Cancer survivors
Estimated number of cancer survivors diagnosed within the past five years per 100,000 population, both sexes, 2018","Years lived with disability due to cancer
Both sexes, all ages, 2017","Cervical cancer screening, visual inspection with acetic acid
As of June 2017","Parties to the Framework Convention on Tobacco Control
As of mid-2019","Tobacco packaging restrictions
Use of graphic warning labels and plain packaging","Hepatitis B virus vaccination
Hepatitis B vaccination coverage (% of one-year-olds who have received three doses of hepatitis B vaccine), 2017","Human papillomavirus vaccination
Countries that have introduced the HPV vaccine by June 2019 (including partial introduction)","Cervical cancer screening, HPV DNA testing
2017","Radiotherapy availability
Number of radiotherapy machines per 1,000 cancer patients","Untreated deaths in pain
2016","Population-based cancer registries
Availability of population-based cancer registry (PBCR) data, 2019","Mortality registration quality
Quality of mortality registration worldwide, 2007Ð2016","Cost of smoking-attributable diseases (US$ billions)
Economic cost of smoking-attributable diseases annually (healthcare spending and productivity losses)*","Cervical cancer incidence rates
Age-standardized rate (world) per 100,000, 2018","HIV prevalence (%)
Both sexes, 2017","UICC organizations
A global network of cancer organizations","Global Relay For Life
2017"
Puerto Rico,PRI,No data,No data,No data,7.4,No data,No data,2,No data,1.5,8.3,0.22,No data,15,8.7,Breast,No data,No data,No data,Breast,Breast,Prostate,Prostate,National high quality data,793.5,6155.5,No program,No data,No data,No data,Not introduced,None,1.35,No data,High quality PBCR,No coverage,Data not featured,10.2,No data,1,Non-participant
Tokelau,TKL,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No program,No data,No data,No data,No data,None,No data,No data,No information,No coverage,Data not featured,No data,No data,0,Non-participant
Afghanistan,AFG,0.5,21.4,7,16,3.2,7.6,0.3,88,5.3,57,71,2nd,9.4,3.2,Breast,Low,5th-10th,No data,Breast,Breast,"Lip, oral cavity",Stomach,No data,151,8089.8,No program,FCTC party,Graphic warning labels,65,Not introduced,None,0,5785.1,PBCR,No coverage,Data not featured,6.6,No data,2,Non-participant
Algeria,DZA,1.1,17.5,2.2,12.9,19.9,34.9,0.7,55.1,3,39,0.32,2nd,17.4,2.9,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,Regional high quality data,312.6,16404.9,No program,FCTC party,No graphic warning labels,91,Not introduced,None,0.75,19079.1,High quality PBCR,No coverage,7,8.1,0.05,13,Non-participant
Azerbaijan,AZE,3.2,36.7,0.3,15.4,15.8,23.6,0.53,36.1,2.1,20,15,2nd,25.5,2.6,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,228.1,6685.1,No program,FCTC party,No graphic warning labels,95,Not introduced,None,0.86,3638,Registration activity,Low,Data not featured,6.5,0.1,1,Non-participant
Albania,ALB,4.9,40.9,6.1,13.4,21.6,21.8,1.7,72.3,1.7,18,35,2nd,37.8,7.1,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,401.1,2644.3,No program,FCTC party,No graphic warning labels,99,Not introduced,None,0.6,0,Registration activity,Low,Data not featured,6.5,0.05,0,Non-participant
Armenia,ARM,5,43.5,1.5,12.2,17.1,23,1.6,52.3,1.7,33,16,1st,58.5,8.5,Breast,High,1st,No data,Breast,Breast,Lung,Lung,No data,402.2,3418,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.34,846.9,Registration activity,High,Data not featured,8.4,0.2,2,Non-participant
Angola,AGO,8.1,14.2,1.6,31.2,4,12.1,1.7,92.6,6,32,56,3rd-4th,4.2,2.6,Other,Medium,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,190.2,6656.6,Pilot,FCTC party,No graphic warning labels,52,Not introduced,None,0.19,14955.2,Registration activity,No coverage,Data not featured,36.1,1.9,0,Non-participant
Argentina,ARG,6.5,21,12.6,9.6,27.3,29,2.9,62,2.3,13,2.3,1st,26.3,13.3,Breast,Very high,1st,2.4,Breast,Breast,Prostate,Lung,Regional high quality data,587.1,47492.7,No program,Not FCTC party,Graphic warning labels,86,Introduced,National,0.91,0,High quality PBCR,Medium,Data not featured,16.7,0.4,6,Global Relay For Life Participant
Australia,AUS,7.1,15.6,13.3,3.7,29.6,28.4,33.6,30,1.9,8.6,0.3,1st,29.2,23.6,Breast,Very high,1st,3,Breast,Lung,Prostate,Lung,National high quality data,1849.8,77268.2,No program,FCTC party,Graphic warning labels + plain packaging,95,Introduced,None,1.12,0,High quality PBCR,High,Data not featured,6,0.1,192,Global Relay For Life Participant
