DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
PATHOS,1 AVENUE,high income,Manhattan,10022,Mediterranean,9,A
THE LITTLE BEET,PARK AVENUE,high income,Manhattan,10017,Salads,13,A
AMAZE FUSION & LOUNGE,3 AVENUE,high income,Manhattan,10017,Asian/Asian Fusion,27,B
NOURISH THAI,VANDERBILT AVENUE,medium income,Brooklyn,11238,Thai,9,A
ESSEN,MADISON AVENUE,high income,Manhattan,10017,Sandwiches,13,A
ESTRELLA BAR & RESTAURANT,JEROME AVENUE,low income,Bronx,10452,Latin American,0,C
STARBUCKS,LEXINGTON AVENUE,high income,Manhattan,10017,Coffee/Tea,10,A
BELLWETHER,VERNON BLVD,medium income,Queens,11101,American,12,A
OXALIS,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,13,A
CAFE OLYMPIA,LEXINGTON AVENUE,high income,Manhattan,10022,Sandwiches,22,B
ROOT & BONE,EAST    3 STREET,medium income,Manhattan,10009,American,2,A
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Queens,11375,Mediterranean,11,A
KENNEDY FRIED CHICKEN,JEROME AVENUE,low income,Bronx,10453,Chicken,12,A
DARK BULLET,WEST   72 STREET,high income,Manhattan,10023,Japanese,8,A
CHIPOTLE MEXICAN GRILL,GREENWICH STREET,high income,Manhattan,10007,Tex-Mex,12,A
STARBUCKS,WEST BROADWAY,high income,Manhattan,10013,Coffee/Tea,5,A
CHOP'T,PARK AVENUE,high income,Manhattan,10017,American,2,A
MIMIS RESTAURANT & BAR,SECOND AVENUE,high income,Manhattan,10022,Italian,5,A
DR SMOOD,LEXINGTON AVENUE,high income,Manhattan,10017,Coffee/Tea,2,A
COLONY FRIED CHICKEN,PROSPECT AVENUE,low income,Bronx,10459,Chicken,2,A
DOUBLE DOWN SALOON,AVENUE A,medium income,Manhattan,10009,American,5,A
NHA TRANG ONE,BAXTER STREET,high income,Manhattan,10013,Southeast Asian,25,Z
COFFEE DELIGHT,WILLIS AVENUE,low income,Bronx,10455,American,11,A
DISHES,EAST   45 STREET,high income,Manhattan,10017,American,17,B
BLUESTONE LANE,MADISON AVENUE,high income,Manhattan,10017,Coffee/Tea,4,A
VEGA ALTA SPORTS BAR,GERARD AVENUE,low income,Bronx,10452,Latin American,10,A
THE NEW THOMPSON DINER,QUEENS BOULEVARD,medium income,Queens,11101,American,12,A
WESTVILLE,AVENUE A,medium income,Manhattan,10009,American,8,A
FIRENZE RISTORANTE,2 AVENUE,high income,Manhattan,10028,Italian,12,A
RUINAS DE COPAN,BROOK AVENUE,low income,Bronx,10455,Spanish,26,B
MONKEY BAR,EAST   54 STREET,high income,Manhattan,10022,American,13,A
MAGGIES PLACE,EAST   47 STREET,high income,Manhattan,10017,American,10,A
TAMARIND TRIBECA,HUDSON STREET,high income,Manhattan,10013,Indian,13,A
ONE AND ONE,1 AVENUE,medium income,Manhattan,10009,Irish,6,A
PYRAMID COFFEE COMPANY,EAST   70 STREET,high income,Manhattan,10021,Coffee/Tea,7,A
GLORIETTA BALDY,FRANKLIN AVENUE,medium income,Brooklyn,11238,American,11,A
WHITE CASTLE,WEBSTER AVENUE,low income,Bronx,10457,Hamburgers,11,A
MARIO'S PIZZA 2,WESTCHESTER AVENUE,low income,Bronx,10459,Pizza,19,B
EVOLVE,EAST   58 STREET,high income,Manhattan,10022,American,23,B
HOME FRONT DELI,EAST   41 STREET,high income,Manhattan,10017,American,12,A
PEARL GARDEN CHINESE RESTAURANT,14 AVENUE,medium income,Queens,11357,Chinese,17,N
BUTTER BEANS (UNICEF),EAST   44 STREET,high income,Manhattan,10017,American,12,A
KIKOO SUSHI,1 AVENUE,medium income,Manhattan,10003,Japanese,12,C
EMPIRE STEAK HOUSE,EAST   50 STREET,high income,Manhattan,10022,American,9,P
BUTTERCUP BAKESHOP,2 AVENUE,high income,Manhattan,10022,Bakery Products/Desserts,20,B
CAFE GRUMPY,LEXINGTON AVE,high income,Manhattan,10017,Coffee/Tea,5,A
LE COUCOU,LAFAYETTE STREET,high income,Manhattan,10013,French,7,A
TINY'S AND THE BAR UPSTAIRS,WEST BROADWAY,high income,Manhattan,10013,American,10,A
SWEETGREEN,1 AVENUE,high income,Manhattan,10021,Salads,10,A
LA CAVA,2 AVENUE,high income,Manhattan,10022,Italian,9,A
LUKE'S PIZZA,SOUTHERN BOULEVARD,low income,Bronx,10459,Pizza,9,A
PATSY'S PIZZERIA,UTOPIA PARKWAY,medium income,Queens,11357,Italian,10,A
La Dinastia Latin-Chinese Cuisine,WEST   72 STREET,high income,Manhattan,10023,Chinese/Cuban,13,A
BLUE MARBLE ICE CREAM,UNDERHILL AVENUE,medium income,Brooklyn,11238,Frozen Desserts,12,A
BIG APPLE CHINESE RESTAURANT,BEACH CHANNEL DR,medium income,Queens,11694,Chinese,5,A
BRAVO PIZZA,EAST   42 STREET,high income,Manhattan,10017,Pizza,9,A
LA ISLA CUCHIFRITOS,WILLIS AVENUE,low income,Bronx,10455,Latin American,26,Z
MAGNOLIA BAKERY,EAST   42 STREET,high income,Manhattan,10017,Bakery Products/Desserts,12,A
STARBUCKS,3 AVENUE,high income,Manhattan,10028,Coffee/Tea,5,A
PINKBERRY,2 AVENUE,high income,Manhattan,10022,Frozen Desserts,4,A
NECTAR OF 82ND STREET,MADISON AVENUE,high income,Manhattan,10028,American,12,A
MAPO B.B.Q,41ST AVE,low income,Queens,11355,Korean,9,A
HUNGRY GHOST,STERLING PLACE,medium income,Brooklyn,11238,Coffee/Tea,9,A
NIU POT,MAIN STREET,low income,Queens,11355,Chinese,4,A
KIKOO SUSHI,1 AVENUE,medium income,Manhattan,10003,Japanese,0,A
BLUESTONE LANE,MADISON AVENUE,high income,Manhattan,10010,Coffee/Tea,14,B
QUEEN BAKERY II,CENTRE STREET,high income,Manhattan,10013,Chinese,12,A
CHINA JADE,2 AVENUE,high income,Manhattan,10028,Chinese,12,A
ZIA MARIA LITTLE ITALY,MULBERRY STREET,high income,Manhattan,10013,Italian,10,A
GO CATERING,LISPENARD STREET,high income,Manhattan,10013,American,6,A
OUH MOA NA,41ST AVE,low income,Queens,11355,Korean,2,P
MINIGROW,MADISON AVENUE,high income,Manhattan,10017,Asian/Asian Fusion,9,A
PHO BEST,MAIN STREET,low income,Queens,11355,Southeast Asian,9,A
TAQUERIA LUPITA II,EAST TREMONT AVENUE,low income,Bronx,10460,Mexican,13,A
SUNSHINE CO.,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,10,A
SANDRO'S,EAST   81 STREET,high income,Manhattan,10028,Italian,13,A
YAMADA CHIKARA NEW YORK,EAST   49 STREET,high income,Manhattan,10017,Japanese,2,P
JOHNSON BAR-B-Q,EAST  163 STREET,low income,Bronx,10456,Soul Food,9,A
ADORO LEI,HUDSON STREET,high income,Manhattan,10013,Pizza,4,A
B CAFE,EAST   75 STREET,high income,Manhattan,10021,American,12,A
THE ROOST,AVENUE B,medium income,Manhattan,10009,Coffee/Tea,13,A
STARBUCKS,EAST   53 STREET,high income,Manhattan,10022,Coffee/Tea,10,A
NADEZHDA,108TH ST,medium income,Queens,11375,Mediterranean,9,A
PATSY'S PIZZERIA,UTOPIA PARKWAY,medium income,Queens,11357,Italian,11,A
EAT HERE NOW,LEXINGTON AVENUE,high income,Manhattan,10065,American,9,A
AHIMSA GARDEN,EAST   10 STREET,medium income,Manhattan,10009,Vegetarian,10,A
KENNEDY CHICKEN AND PIZZA,INTERVALE AVENUE,low income,Bronx,10459,Chicken,24,B
4TH FLOOR CAFE,EAST   71 STREET,high income,Manhattan,10021,American,6,A
TITOS EMPANADAS Y MAS,JEROME AVENUE,low income,Bronx,10452,Latin American,26,B
EATING TREE,GERARD AVENUE,low income,Bronx,10452,Caribbean,7,A
CITIGROUP EXECUTIVE DINING ROOM,GREENWICH STREET,high income,Manhattan,10013,American,13,A
FRESCO,EAST   52 STREET,high income,Manhattan,10022,Italian,11,A
MCDONALD'S,3 AVENUE,high income,Manhattan,10029,Hamburgers,9,A
NINE THAI,QUEENS BLVD,medium income,Queens,11375,Thai,12,A
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,Bronx,10456,Latin American,2,C
STARBUCKS,BROADWAY,high income,Manhattan,10025,Coffee/Tea,10,A
CAFFE DEI FIORI RISTORANTE,LEXINGTON AVENUE,high income,Manhattan,10021,Italian,13,A
