,,,,,Lung and Bronchus Cancer : Summarize
Topic: Health Behavior and Population
Subtopic: Cancer
Indicator Name: Lung and Bronchus Cancer
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,"Age Adjusted Rate - Females (per 100,000)","Age Adjusted Rate - Males (per 100,000)","Age Adjusted Rate - Total (per 100,000)",Average Annual Number - Females,Average Annual Number - Males,Average Annual Number - Total,Notes Age Adjusted Rate - Females,Notes Age Adjusted Rate - Males,Notes Age Adjusted Rate - Total,Notes Average Annual Number - Females,Notes Average Annual Number - Males,Notes Average Annual Number - Total,
2011-2015,Citywide,New York City, New York City,1,Lung and Bronchus Cancer,41.7,59.7,48.9,"2,109.40","2,178.80","4,288.20",,,,,,,
2011-2015,Borough,Bronx, Bronx,1,Lung and Bronchus Cancer,40.4,61.8,48.7,318.60,328,646.60,,,,,,,
2011-2015,Borough,Brooklyn, Brooklyn,2,Lung and Bronchus Cancer,38.5,62.7,48.2,570.80,660.20,"1,231",,,,,,,
2011-2015,Borough,Manhattan, Manhattan,3,Lung and Bronchus Cancer,47.4,53.7,49.7,498.40,408,906.40,,,,,,,
2011-2015,Borough,Queens, Queens,4,Lung and Bronchus Cancer,38.0,56.2,45.5,550,602.60,"1,152.60",,,,,,,
2011-2015,Borough,Staten Island, Staten Island,5,Lung and Bronchus Cancer,56.5,76.1,64.7,171.60,180,351.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Lung and Bronchus Cancer,37.0,59.8,46.7,38.20,45.20,83.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Lung and Bronchus Cancer,51.5,75.9,61.3,44.60,47.60,92.20,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Lung and Bronchus Cancer,36.4,61.8,47.3,34.80,45.80,80.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Lung and Bronchus Cancer,42.0,70.4,53.0,27,30.40,57.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Lung and Bronchus Cancer,31.0,50.3,38.5,43.20,46,89.20,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bensonhurst,21,Lung and Bronchus Cancer,44.3,84.3,61.8,57.80,84.60,142.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Borough Park,22,Lung and Bronchus Cancer,32.1,52.4,41.5,25.80,34.20,60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brooklyn Heights/Fort Greene,12,Lung and Bronchus Cancer,43.8,49.0,45.9,28.20,22.20,50.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brownsville/Ocean Hill,26,Lung and Bronchus Cancer,43.2,28.6,54.3,27.20,28.60,55.80,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bushwick,14,Lung and Bronchus Cancer,37.4,69.4,49.0,20.80,25.80,46.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Central Harlem,36,Lung and Bronchus Cancer,60.2,85.0,68.7,40.40,36.20,76.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Chelsea/Clinton/Midtown,31,Lung and Bronchus Cancer,45.7,62.7,52.9,35.60,42,77.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Coney Island,23,Lung and Bronchus Cancer,37.0,76.0,53.0,43.20,61.40,104.60,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East Flatbush,27,Lung and Bronchus Cancer,19.7,43.1,28.9,16.80,25.60,42.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - East Harlem,37,Lung and Bronchus Cancer,49.3,84.8,62.5,37,40.40,77.40,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East New York/Starret City,15,Lung and Bronchus Cancer,36.4,70.7,49.5,30.40,38.80,69.20,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Elmhurst/Corona,42,Lung and Bronchus Cancer,34.7,52.5,42.1,24.80,29.20,54,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatbush,24,Lung and Bronchus Cancer,31.5,45.5,36.9,30.80,31,61.80,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatlands/Canarsie,28,Lung and Bronchus Cancer,33.5,58.9,43.5,41.60,49.20,90.80,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Flushing/Whitestone,45,Lung and Bronchus Cancer,43.2,58.2,49.5,84.80,87.40,172.20,,,,,,,
2011-2015,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Forest Hills/Rego Park,44,Lung and Bronchus Cancer,37.4,50.7,42.9,37.60,36,73.60,,,,,,,
