Borough,INCOME LEVEL,DBA,STREET,GRADE DATE,LATITUDE,LONGITUDE
Manhattan,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,1/13/2020,40.716432,-74.010472
Manhattan,high income,SPOTIFY - BARISTA BAR,GREENWICH STREET,1/22/2020,40.715553,-74.011021
Manhattan,high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET,1/13/2020,40.715553,-74.011021
Manhattan,high income,CANTEEN,WORLD TRADE CTR,1/23/2020,40.713941,-74.007401
Manhattan,high income,JOE & THE JUICE GREENWICH ST,GREENWICH STREET,12/30/2019,40.715553,-74.011021
Manhattan,high income,BARCLAY STREET CAFE,GREENWICH STREET,1/10/2020,40.715553,-74.011021
Manhattan,high income,LEKKA BURGER,WARREN STREET,1/10/2020,40.715463,-74.01084
Manhattan,high income,SALAD BOX USA,PARK PLACE,1/13/2020,40.713717,-74.010321
Manhattan,high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET,1/17/2020,40.716432,-74.010472
Manhattan,high income,ELIM BISTRO,PARK PLACE,1/15/2020,40.713717,-74.010321
Manhattan,high income,AROME,BROADWAY,1/17/2020,40.713538,-74.00674
Manhattan,high income,MUSCLE MAKER GRILL,MURRAY STREET,1/13/2020,40.714779,-74.011128
Manhattan,high income,HANK'S JUICY BEEF,CHAMBERS STREET,1/13/2020,40.716432,-74.010472
Manhattan,high income,CHIPOTLE MEXICAN GRILL,GREENWICH STREET,2/3/2020,40.715553,-74.011021
Manhattan,high income,GROUP M,GREENWICH STREET,1/30/2020,40.715553,-74.011021
Manhattan,high income,CORNER GOURMET II,WEST BROADWAY,1/31/2020,40.714461,-74.010361
Manhattan,high income,MAXWELL'S,READE STREET,2/5/2020,40.714806,-74.005451
Manhattan,high income,TRE SORELLE,READE STREET,1/31/2020,40.714806,-74.005451
Manhattan,high income,LITTLE PARK,WEST BROADWAY,2/5/2020,40.714461,-74.010361
Manhattan,high income,MAJESTIC PIZZA,CORTLANDT STREET,2/10/2020,40.710238,-74.011008
Manhattan,high income,MONK MCGINNS,MURRAY STREET,3/3/2020,40.714779,-74.011128
Manhattan,high income,DELIMARIE,DUANE STREET,3/9/2020,40.71511,-74.005162
Manhattan,high income,ANDY'S DELI,BROADWAY,3/6/2020,40.713538,-74.00674
Manhattan,high income,ELIEZER KITCHEN,CHURCH STREET,2/24/2020,40.713718,-74.008805
