INCOME LEVEL,DBA,STREET
high income,MARIACHI'S RESTAURANT,CHAMBERS STREET
high income,SPOTIFY - BARISTA BAR,GREENWICH STREET
high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET
high income,CANTEEN,WORLD TRADE CTR
high income,JOE & THE JUICE GREENWICH ST,GREENWICH STREET
high income,BARCLAY STREET CAFE,GREENWICH STREET
high income,LEKKA BURGER,WARREN STREET
high income,SALAD BOX USA,PARK PLACE
high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET
high income,ELIM BISTRO,PARK PLACE
high income,AROME,BROADWAY
high income,MUSCLE MAKER GRILL,MURRAY STREET
high income,HANK'S JUICY BEEF,CHAMBERS STREET
high income,CHIPOTLE MEXICAN GRILL,GREENWICH STREET
high income,GROUP M,GREENWICH STREET
high income,CORNER GOURMET II,WEST BROADWAY
high income,MAXWELL'S,READE STREET
high income,TRE SORELLE,READE STREET
high income,LITTLE PARK,WEST BROADWAY
high income,MAJESTIC PIZZA,CORTLANDT STREET
high income,MONK MCGINNS,MURRAY STREET
high income,DELIMARIE,DUANE STREET
high income,ANDY'S DELI,BROADWAY
high income,ELIEZER KITCHEN,CHURCH STREET
high income,SUBWAY,CHAMBERS STREET
high income,PALM RESTAURANT,CHAMBERS STREET
high income,BENARES RESTAURANT,MURRAY STREET
high income,LITTLE ITALY PIZZA,PARK PLACE
high income,FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET
high income,PRET A MANGER,CHURCH STREET
high income,ONE WORLD OBSERVATORY,WORLD TRADE CTR
high income,STARBUCKS,BROADWAY
high income,EPICERIE BOULUD,GREENWICH STREET
high income,DARKHORSE,MURRAY STREET
high income,VIN SUR VINGT,WEST BROADWAY
high income,BNY MELLON EXECUTIVE DINNING ROOM,GREENWICH STREET
high income,DUNKIN',CHURCH STREET
high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET
high income,CHIPOTLE MEXICAN GRILL,BROADWAY
high income,AROMA ESPRESSO BAR,CHURCH STREET
high income,CAFE/ 911 MUSEUM,GREENWICH STREET
high income,LUNA PIZZA,PARK ROW
high income,AAHAR,MURRAY STREET
high income,A SAFFRON THREAD,CHAMBERS STREET
high income,BURRITO MARIACHI,CHURCH STREET
high income,FIVE AND DIME,PARK PLACE
high income,FEDOROFF'S STEAKS,CORTLANDT STREET
high income,APPLE GOURMET,BROADWAY
high income,POKE GREEN,GREENWICH STREET
high income,LYFEPING,CHAMBERS STREET
high income,WARREN 77,WARREN STREET
high income,J R SUSHI,WEST BROADWAY
high income,AKIMOTO SUSHI,CHURCH STREET
high income,SCHNIPPERS,CHURCH STREET
high income,BLISS BOWL,GREENWICH STREET
high income,DUNKIN',CHAMBERS STREET
high income,KAFFE 1668,GREENWICH STREET
high income,GUCKENHEIMER CAFE @ SPOTIFY,GREENWICH STREET
high income,STARBUCKS,CHURCH STREET
high income,LOS TACOS NO.1,CHURCH STREET
high income,TAKUMI JAPANESE CUISINE,CHAMBERS STREET
high income,FRANKLIN SQUARE CAFE @ HARPER COLLINS,BROADWAY
high income,MBJ DOWNTOWN (BMCC cafeteria),CHAMBERS STREET
high income,CHINA RED GOURMENT,CHAMBERS STREET
high income,LADY M CONFECTIONS,LIBERTY STREET
high income,CHECKERS,CHAMBERS STREET
high income,CUT BY WOLFGANG PUCK,CHURCH STREET
high income,STARBUCKS,BROADWAY
high income,TAKAHACHI BAKERY,MURRAY STREET
high income,THE HUMMUS & PITA CO.,CHAMBERS STREET
high income,JUICE PRESS @ EQUINOX,MURRAY STREET
high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET
high income,HUNGRY GHOST COFFEE,CHURCH STREET
high income,JOE COFFEE COMPANY,GREENWICH STREET
high income,DARKHORSE,MURRAY STREET
high income,STAGE DOOR DELI,VESEY STREET
high income,MARIACHI'S RESTAURANT,CHAMBERS STREET
high income,GROUP M,GREENWICH STREET
high income,OX VERTE,READE STREET
high income,AKIMOTO SUSHI,CHURCH STREET
high income,VIN SUR VINGT,WEST BROADWAY
high income,N.Y. ACADEMY OF SCIENCE,GREENWICH STREET
high income,DARKHORSE,MURRAY STREET
high income,VIVI BUBBLE TEA,BROADWAY
high income,PALM RESTAURANT,CHAMBERS STREET
high income,WOODROWS,MURRAY STREET
high income,AROME,BROADWAY
high income,PRET A MANGER,CHURCH STREET
high income,MANHATTAN PROPER,MURRAY STREET
high income,EPICERIE BOULUD,GREENWICH STREET
high income,GUNBAE,MURRAY STREET
high income,SHEEZAN RESTAURANT,CHURCH STREET
high income,PRET A MANGER,BROADWAY
high income,NEW FRESCO TORTILLAS,READE STREET
high income,GRAN MORSI,WARREN STREET
high income,NOBU 195,BROADWAY
high income,WICHCRAFT,BROADWAY
high income,FOUR SEASONS HOTEL BANQUET KITCHEN,BARCLAY STREET
high income,TRE SORELLE,READE STREET
high income,LE PAIN QUOTIDIEN,WEST BROADWAY
high income,JUPIOCA,CHURCH STREET
high income,MUDVILLE SALOON,CHAMBERS STREET
high income,POTBELLY SANDWICH WORKS,BROADWAY
high income,SOPHIE'S CUBAN CUISINE,CHAMBERS STREET
high income,DARKHORSE,MURRAY STREET
high income,KAFFE 1668,GREENWICH STREET
high income,1803,READE STREET
high income,LITTLE ITALY PIZZA,PARK PLACE
high income,MAXWELL'S,READE STREET
high income,SPOTIFY - BARISTA BAR,GREENWICH STREET
high income,BARCLAY STREET CAFE,GREENWICH STREET
high income,ELIEZER KITCHEN,CHURCH STREET
high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET
high income,MCDONALD'S,CHAMBERS STREET
high income,STARBUCKS,BROADWAY
high income,BLUESPOON COFFEE,CHAMBERS STREET
high income,WILMER HALE,WORLD TRADE CENTER
high income,DELIMARIE,DUANE STREET
high income,SALAD BOX USA,PARK PLACE
high income,MILLENIUM HILTON,CHURCH STREET
high income,MAJESTIC PIZZA,CORTLANDT STREET
high income,LITTLE PARK,WEST BROADWAY
high income,THE PATRIOT SALOON,CHAMBERS STREET
high income,FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET
high income,FOUR SEASONS HOTEL  EMPLOYEE CAFETERIA4,BARCLAY STREET
high income,DUNKIN',CHURCH STREET
high income,SUBWAY,CHAMBERS STREET
high income,CHIPOTLE MEXICAN GRILL,GREENWICH STREET
high income,MARIACHI'S RESTAURANT,CHAMBERS STREET
high income,ATOMIC WINGS,BROADWAY
high income,STARBUCKS,BROADWAY
high income,RACINES,CHAMBERS STREET
high income,ELIM BISTRO,PARK PLACE
high income,MULBERRY & VINE,WARREN STREET
high income,SWEETCATCH POKE,GREENWICH STREET
high income,MCDONALD'S,CHAMBERS STREET
high income,LYFEPING,CHAMBERS STREET
high income,CAFE 101 16TH FLOOR CAFETERIA,BARCLAY STREET
high income,ANDY'S DELI,BROADWAY
high income,B & Co.,PARK PLACE
high income,BENTO SUSHI,BROADWAY
high income,ONE WORLD OBSERVATORY,WORLD TRADE CTR
high income,TAKUMI JAPANESE CUISINE,CHAMBERS STREET
high income,ELIM BISTRO,PARK PLACE
high income,WILMER HALE,WORLD TRADE CENTER
high income,NOBU 195,BROADWAY
high income,AROME,BROADWAY
high income,JOE & THE JUICE GREENWICH ST,GREENWICH STREET
high income,MANHATTAN PROPER,MURRAY STREET
high income,FOUR SEASONS HOTEL  EMPLOYEE CAFETERIA4,BARCLAY STREET
high income,MAJESTIC PIZZA,CORTLANDT STREET
high income,BENARES RESTAURANT,MURRAY STREET
high income,LENWICH,PARK PLACE
high income,NEXUS CLUB NEW YORK,CHURCH STREET
high income,MAXWELL'S,READE STREET
high income,MULBERRY & VINE,WARREN STREET
high income,MONK MCGINNS,MURRAY STREET
high income,SUBWAY,CHURCH STREET
high income,GEE WHIZ,GREENWICH STREET
high income,TRE SORELLE,READE STREET
high income,Dunkin',CORTLANDT STREET
high income,DUNKIN',BROADWAY
high income,AAHAR,MURRAY STREET
high income,BABA GHANOUGE,CHURCH STREET
high income,MUSCLE MAKER GRILL,MURRAY STREET
high income,DUNKIN',PARK PLACE
high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET
high income,JUICE PRESS @ EQUINOX,MURRAY STREET
high income,SUBWAY,BROADWAY
high income,CAFE 101,BARCLAY STREET
high income,1803,READE STREET
high income,MARIACHI'S RESTAURANT,CHAMBERS STREET
high income,STARBUCKS COFFEE,WORLD TRADE CENTER
high income,JOE COFFEE COMPANY,GREENWICH STREET
high income,WASABI SUSHI BENTO (OCULUS WEST CONCOURSE),GREENWICH STREET
high income,CONVENE AT ONE WORLD COMMONS,WORLD TRADE CTR
high income,BARNES & NOBLE CAFE,WARREN STREET
high income,DONA BELLA  PIZZA,CHURCH STREET
high income,PRET A MANGER,GREENWICH STREET
high income,J R SUSHI,WEST BROADWAY
high income,MOODY'S CAFETERIA,GREENWICH STREET
high income,DEVON & BLAKELY,GREENWICH STREET
high income,A SAFFRON THREAD,CHAMBERS STREET
high income,PRET A MANGER,BROADWAY
high income,MCDONALD'S,CHAMBERS STREET
high income,CAFE/ 911 MUSEUM,GREENWICH STREET
high income,SOLE DI CAPRI,CHURCH STREET
high income,AROMA ESPRESSO BAR,CHURCH STREET
high income,LA BELLEZZA PIZZERIA,BROADWAY
high income,ANDY'S DELI,BROADWAY
high income,DOMINO'S,CHURCH STREET
high income,BURRITO MARIACHI,CHURCH STREET
high income,WOODROWS,MURRAY STREET
high income,KAFFE 1668,GREENWICH STREET
high income,B & Co.,PARK PLACE
high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET
high income,LARRA'S POKE BAR,PARK PLACE
high income,APPLE GOURMET,BROADWAY
high income,BLUESPOON COFFEE,CHAMBERS STREET
high income,FIG & OLIVE,LEXINGTON AVENUE
high income,GREEK EATS,1 AVENUE
high income,BURGER HEAVEN,LEXINGTON AVENUE
high income,PIZZA PARK,FIRST AVENUE
high income,BAKER STREET PUB,1 AVENUE
high income,TONY'S DI NAPOLI,3 AVENUE
high income,GOTHAM CAFE,2 AVENUE
high income,AMERICAS CAFE & GRILL,3 AVENUE
high income,STARBUCKS,3 AVENUE
high income,KNICKERBOCKER CLUB,EAST   62 STREET
high income,DONNA MARGHERITIA,2 AVENUE
high income,BEST PIZZA II,1 AVENUE
high income,GREGORYS COFFEE,1 AVENUE
high income,JUICE ISLAND,3 AVENUE
high income,TREADWELL PARK/SUGAR EAST,1 AVENUE
high income,CASABLANCA GRILL,1 AVENUE
high income,EL PORRON,1 AVENUE
high income,HOTEL PIERRE-BANQUET KITCHEN,EAST   61 STREET
high income,COLONY CLUB,PARK AVENUE
high income,CMX-CINEBISTRO,EAST   62 STREET
high income,CHIPOTLE MEXICAN GRILL,3 AVENUE
high income,SUBWAY,1 AVENUE
high income,SUBWAY,2 AVENUE
high income,PADOCA BAKERY,EAST   68 STREET
high income,PICK A BAGEL,LEXINGTON AVENUE
high income,KOME WAZA,1 AVENUE
high income,ALICES TEA CUP CHAPTER 2,EAST   64 STREET
high income,PALAIS,EAST   61 STREET
high income,ZAVO,3 AVENUE
high income,WONG ASIAN FOOD,1 AVENUE
