DBA,STREET,INCOME_LEVEL,CUISINE_DESCRIPTION,SCORE,GRADE
(LEWIS DRUG STORE) LOCANDA VINI E OLII,GATES AVENUE,medium income,Italian,9,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,American,12,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
3 DELI & GRILL,EAST   55 STREET,high income,American,12,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,28,C
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,16,B
59E59 BAR,EAST   59 STREET,high income,American,12,A
59E59 BAR,EAST   59 STREET,high income,American,12,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
